date,player,consensus_implied,best_price,homered,flat_bet_pl
2026-05-10,Munetaka Murakami,0.271,300,False,-10.0
2026-05-10,Aaron Judge,0.313,240,True,24.0
2026-05-10,Shohei Ohtani,0.324,215,False,-10.0
2026-05-11,Aaron Judge,0.319,235,False,-10.0
2026-05-11,Junior Caminero,0.258,305,False,-10.0
2026-05-11,Cal Raleigh,0.272,295,False,-10.0
2026-05-11,Shohei Ohtani,0.334,205,False,-10.0
2026-05-12,Aaron Judge,0.307,260,False,-10.0
2026-05-12,James Wood,0.299,245,True,24.5
2026-05-12,Kyle Schwarber,0.278,280,True,28.0
2026-05-12,Junior Caminero,0.252,335,False,-10.0
2026-05-12,Munetaka Murakami,0.305,270,False,-10.0
2026-05-12,Byron Buxton,0.289,265,False,-10.0
2026-05-12,Yordan Alvarez,0.308,225,False,-10.0
2026-05-12,Shea Langeliers,0.269,280,True,28.0
2026-05-12,Shohei Ohtani,0.318,225,True,22.5
2026-05-13,Aaron Judge,0.323,220,False,-10.0
2026-05-13,Elly De La Cruz,0.262,300,False,-10.0
2026-05-13,Kyle Schwarber,0.3,240,False,-10.0
2026-05-13,Munetaka Murakami,0.281,275,False,-10.0
2026-05-13,Yordan Alvarez,0.29,265,False,-10.0
2026-05-13,Shea Langeliers,0.296,260,False,-10.0
2026-05-13,Max Muncy,0.25,300,False,-10.0
2026-05-14,Sal Stewart,0.251,305,False,-10.0
2026-05-14,Juan Soto,0.263,320,True,32.0
2026-05-14,Yordan Alvarez,0.311,225,True,22.5
2026-05-14,Nick Kurtz,0.294,245,True,24.5
2026-05-15,Kyle Schwarber,0.253,300,True,30.0
2026-05-15,Pete Alonso,0.266,290,False,-10.0
2026-05-15,Munetaka Murakami,0.273,285,False,-10.0
2026-05-15,Yordan Alvarez,0.299,245,False,-10.0
2026-05-15,Hunter Goodman,0.286,255,True,25.5
2026-05-15,Shohei Ohtani,0.296,260,False,-10.0
2026-05-15,Shea Langeliers,0.29,250,False,-10.0
2026-05-16,Hunter Goodman,0.283,265,False,-10.0
2026-05-16,James Wood,0.266,300,False,-10.0
2026-05-16,Kyle Schwarber,0.319,235,False,-10.0
2026-05-16,Munetaka Murakami,0.301,290,True,29.0
2026-05-16,Yordan Alvarez,0.275,275,True,27.5
2026-05-16,Aaron Judge,0.31,235,False,-10.0
2026-05-16,Nick Kurtz,0.257,300,False,-10.0
2026-05-17,Junior Caminero,0.255,300,True,30.0
2026-05-17,Matt Olson,0.253,320,False,-10.0
2026-05-17,James Wood,0.291,260,False,-10.0
2026-05-17,Kyle Schwarber,0.279,275,False,-10.0
2026-05-17,Aaron Judge,0.337,230,False,-10.0
2026-05-17,Munetaka Murakami,0.293,285,False,-10.0
2026-05-17,Yordan Alvarez,0.294,255,False,-10.0
2026-05-17,Hunter Goodman,0.273,290,False,-10.0
2026-05-17,Nick Kurtz,0.298,250,False,-10.0
2026-05-17,Shohei Ohtani,0.322,220,False,-10.0
